binary;function;function count;common linux file;networking;
/sbin/getBootVersion (-rwxr-xr-x root root);strcpy;1;false;no;
/sbin/lang_merge (-rwxr-xr-x root root);popen;1;false;no;
/sbin/ntpclient (-rwxr-xr-x root root);popen;1;false;yes;
/sbin/bulkagent (-rwxr-xr-x root root);sprintf;1;false;no;
/sbin/getBootVersion (-rwxr-xr-x root root);system;1;false;no;
/sbin/proxy (-rwxr-xr-x root root);strcat;1;true;yes;
/bin/ntfs-3g (-rwxr-xr-x root root);strcat;1;true;no;
/sbin/dhcp6s (-rwxr-xr-x root root);printf;1;false;yes;
/sbin/lang_merge (-rwxr-xr-x root root);printf;1;false;no;
/sbin/ntpclient (-rwxr-xr-x root root);printf;1;false;yes;
/sbin/bulkUpgrade (-rwxr-xr-x root root);fprintf;1;false;no;
/sbin/bulkagent (-rwxr-xr-x root root);strcat;1;false;no;
/sbin/radvd (-rwxr-xr-x root root);fprintf;1;true;yes;
/sbin/signalc (-rwxr-xr-x root root);printf;1;false;yes;
/sbin/proxy (-rwxr-xr-x root root);strcpy;1;true;yes;
/sbin/lang_merge (-rwxr-xr-x root root);sprintf;1;false;no;
/bin/iptables (-rwxr-xr-x root root);system;1;true;no;
/sbin/tsa (-rwxr-xr-x root root);fprintf;1;false;yes;
/sbin/bulkUpgrade (-rwxr-xr-x root root);mmap;1;false;no;
/sbin/bulkagent (-rwxr-xr-x root root);strcpy;1;false;no;
/sbin/ntpclient (-rwxr-xr-x root root);sprintf;1;false;yes;
/sbin/proxy (-rwxr-xr-x root root);system;1;true;yes;
/sbin/ncc2 (-rwxr-xr-x root root);fprintf;1;false;yes;
/sbin/lang_merge (-rwxr-xr-x root root);strcat;1;false;no;
/sbin/bulkagent (-rwxr-xr-x root root);system;1;false;no;
/sbin/bulkUpgrade (-rwxr-xr-x root root);popen;1;false;no;
/bin/ip (-rwxr-xr-x root root);strcpy;1;true;yes;
/sbin/lang_merge (-rwxr-xr-x root root);strcpy;1;false;no;
/sbin/radvd (-rwxr-xr-x root root);mmap;1;true;yes;
/sbin/ntpclient (-rwxr-xr-x root root);strcat;1;false;yes;
/sbin/bulkUpgrade (-rwxr-xr-x root root);printf;1;false;no;
/sbin/signalc (-rwxr-xr-x root root);sprintf;1;false;yes;
/bin/pppd (-rwxr-xr-x root root);strcpy;1;true;yes;
/sbin/udhcpc (-rwxr-xr-x root root);fprintf;1;false;yes;
/sbin/tsa (-rwxr-xr-x root root);mmap;1;false;yes;
/sbin/dhcp6s (-rwxr-xr-x root root);sprintf;1;false;yes;
/sbin/lang_merge (-rwxr-xr-x root root);system;1;false;no;
/sbin/bulkUpgrade (-rwxr-xr-x root root);sprintf;1;false;no;
/sbin/ntpclient (-rwxr-xr-x root root);strcpy;1;false;yes;
/sbin/udhcpd (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/nmbd (-rwxr-xr-x root root);strcat;1;true;yes;
/sbin/udhcpc (-rwxr-xr-x root root);mmap;1;false;yes;
/sbin/mdb (-rwxr-xr-x root root);fprintf;1;false;no;
/sbin/bulkUpgrade (-rwxr-xr-x root root);strcat;1;false;no;
/sbin/radvd (-rwxr-xr-x root root);popen;1;true;yes;
/sbin/mdb (-rwxr-xr-x root root);mmap;1;false;no;
/sbin/ntpclient (-rwxr-xr-x root root);system;1;false;yes;
/sbin/tsa (-rwxr-xr-x root root);popen;1;false;yes;
/sbin/dhcp6c (-rwxr-xr-x root root);fprintf;1;false;yes;
/sbin/bulkUpgrade (-rwxr-xr-x root root);strcpy;1;false;no;
/sbin/signalc (-rwxr-xr-x root root);strcat;1;false;yes;
/sbin/udhcpc (-rwxr-xr-x root root);popen;1;false;yes;
/sbin/mdb (-rwxr-xr-x root root);popen;1;false;no;
/sbin/udhcpd (-rwxr-xr-x root root);mmap;1;false;yes;
