binary;function;function count;common linux file;networking;
/web/cgi-bin/localrecording/unbindsetting.cgi (-rwxr-xr-x root root);printf;2;false;no;
/web/cgi-bin/localrecording/setconf.cgi (-rwxr-xr-x root root);printf;2;false;no;
/web/cgi-bin/hnap/hnap_service (-rwxr-xr-x root root);strcat;1;false;no;
/web/cgi-bin/cgi/serverreport.cgi (-rwxr-xr-x root root);fprintf;20;false;no;
/web/cgi-bin/cgi/ddns.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/cgi/testserv.cgi (-rwxr-xr-x root root);fprintf;22;false;no;
/web/cgi-bin/localrecording/unbindsetting.cgi (-rwxr-xr-x root root);sprintf;3;false;no;
/web/cgi-bin/cgi/eventsnapshot.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/cgi/ftp.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/cgi/admin/adv_snapshot_cont.cgi (-rwxr-xr-x root root);fprintf;16;false;no;
/web/cgi-bin/localrecording/setconf.cgi (-rwxr-xr-x root root);sprintf;3;false;no;
/web/cgi-bin/cgi/admin/videoclip.cgi (-rwxr-xr-x root root);fprintf;18;false;no;
/web/cgi-bin/hnap/hnap_service (-rwxr-xr-x root root);strcpy;71;false;no;
/web/cgi-bin/cgi/restore.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/cgi/RTS5826.cgi (-rwxr-xr-x root root);popen;1;false;no;
/web/cgi-bin/cgi/serverSetting.cgi (-rwxr-xr-x root root);system;7;false;no;
/web/cgi-bin/cgi/testserv.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/localrecording/unbindsetting.cgi (-rwxr-xr-x root root);strcpy;2;false;no;
/web/cgi-bin/cgi/eventsnapshot.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/cgi/admin/adv_snapshot_cont.cgi (-rwxr-xr-x root root);sprintf;3;false;no;
/web/cgi-bin/cgi/camera.cgi (-rwxr-xr-x root root);system;4;false;no;
/web/cgi-bin/cgi/param.cgi (-rwxr-xr-x root root);fprintf;427;false;no;
/web/cgi-bin/localrecording/setconf.cgi (-rwxr-xr-x root root);strcpy;5;false;no;
/web/cgi-bin/cgi/admin/videoclip.cgi (-rwxr-xr-x root root);sprintf;3;false;no;
/web/cgi-bin/cgi/finish.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/hnap/hnap_service (-rwxr-xr-x root root);system;45;false;no;
/web/cgi-bin/cgi/restore.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/cgi/network.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/cgi/smartwizard.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/cgi/testserv.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/cgi/admin/adv_snapshot_cont.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/cgi/eventsnapshot.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/cgi/admin/videoclip.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/cgi/param.cgi (-rwxr-xr-x root root);sprintf;9;false;no;
/web/cgi-bin/cgi/smartwizard.cgi (-rwxr-xr-x root root);system;8;false;no;
/web/cgi-bin/cgi/ad.cgi (-rwxr-xr-x root root);fprintf;7;false;no;
/web/cgi-bin/cgi/admin/adv_snapshot_cont.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/cgi/query/query.cgi (-rwxr-xr-x root root);fprintf;6;false;no;
/web/cgi-bin/cgi/admin/videoclip.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/cgi/wifichannel.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/cgi/param.cgi (-rwxr-xr-x root root);strcat;4;false;no;
/web/cgi-bin/cgi/firmwareupgrade.cgi (-rwxr-xr-x root root);fprintf;5;false;no;
